stateCode,sourceCode,year,msnCode,energyProduced
KS,RE,1962,REPRB,3670.0
KY,CL,1962,CLPRB,1638552.0
KY,NG,1962,NGMPB,80864.0
KY,NU,1962,NUETB,0.0
KY,PA,1962,PAPRB,103176.0
KY,RE,1962,REPRB,51423.0
LA,CL,1962,CLPRB,0.0
LA,NG,1962,NGMPB,3333534.0
LA,NU,1962,NUETB,0.0
LA,PA,1962,PAPRB,2322280.0
LA,RE,1962,REPRB,36785.0
MA,CL,1962,CLPRB,0.0
MA,NG,1962,NGMPB,0.0
MA,NU,1962,NUETB,8017.0
MA,PA,1962,PAPRB,0.0
MA,RE,1962,REPRB,53590.0
MD,CL,1962,CLPRB,20781.0
MD,NG,1962,NGMPB,2526.0
MD,NU,1962,NUETB,0.0
MD,PA,1962,PAPRB,0.0
MD,RE,1962,REPRB,36002.0
ME,CL,1962,CLPRB,0.0
ME,NG,1962,NGMPB,0.0
ME,NU,1962,NUETB,0.0
ME,PA,1962,PAPRB,0.0
ME,RE,1962,REPRB,55672.0
MI,CL,1962,CLPRB,0.0
MI,NG,1962,NGMPB,32190.0
MI,NU,1962,NUETB,0.0
MI,PA,1962,PAPRB,99261.0
MI,RE,1962,REPRB,53745.0
MN,CL,1962,CLPRB,0.0
MN,NG,1962,NGMPB,0.0
MN,NU,1962,NUETB,0.0
MN,PA,1962,PAPRB,0.0
MN,RE,1962,REPRB,34382.0
MO,CL,1962,CLPRB,61154.0
MO,NG,1962,NGMPB,93.0
MO,NU,1962,NUETB,0.0
MO,PA,1962,PAPRB,319.0
MO,RE,1962,REPRB,40239.0
MS,CL,1962,CLPRB,0.0
MS,NG,1962,NGMPB,177381.0
MS,NU,1962,NUETB,0.0
MS,PA,1962,PAPRB,323135.0
MS,RE,1962,REPRB,44673.0
MT,CL,1962,CLPRB,6818.0
MT,NG,1962,NGMPB,34721.0
MT,NU,1962,NUETB,0.0
MT,PA,1962,PAPRB,183558.0
MT,RE,1962,REPRB,74894.0
NC,CL,1962,CLPRB,0.0
NC,NG,1962,NGMPB,0.0
NC,NU,1962,NUETB,0.0
NC,PA,1962,PAPRB,0.0
NC,RE,1962,REPRB,127402.0
ND,CL,1962,CLPRB,35798.0
ND,NG,1962,NGMPB,32246.0
ND,NU,1962,NUETB,0.0
ND,PA,1962,PAPRB,146050.0
ND,RE,1962,REPRB,14054.0
NE,CL,1962,CLPRB,0.0
NE,NG,1962,NGMPB,17284.0
NE,NU,1962,NUETB,0.0
NE,PA,1962,PAPRB,144385.0
NE,RE,1962,REPRB,12973.0
NH,CL,1962,CLPRB,0.0
NH,NG,1962,NGMPB,0.0
NH,NU,1962,NUETB,0.0
NH,PA,1962,PAPRB,0.0
NH,RE,1962,REPRB,25119.0
NJ,CL,1962,CLPRB,0.0
NJ,NG,1962,NGMPB,0.0
NJ,NU,1962,NUETB,0.0
NJ,PA,1962,PAPRB,0.0
NJ,RE,1962,REPRB,21199.0
NM,CL,1962,CLPRB,12664.0
NM,NG,1962,NGMPB,930792.0
NM,NU,1962,NUETB,0.0
NM,PA,1962,PAPRB,634102.0
NM,RE,1962,REPRB,6791.0
NV,CL,1962,CLPRB,0.0
NV,NG,1962,NGMPB,0.0
NV,NU,1962,NUETB,0.0
NV,PA,1962,PAPRB,818.0
NV,RE,1962,REPRB,21733.0
NY,CL,1962,CLPRB,0.0
NY,NG,1962,NGMPB,4352.0
NY,NU,1962,NUETB,706.0
NY,PA,1962,PAPRB,9216.0
NY,RE,1962,REPRB,277979.0
OH,CL,1962,CLPRB,800589.0
OH,NG,1962,NGMPB,37592.0
OH,NU,1962,NUETB,0.0
OH,PA,1962,PAPRB,33843.0
OH,RE,1962,REPRB,36983.0
OK,CL,1962,CLPRB,26491.0
OK,NG,1962,NGMPB,1158674.0
OK,NU,1962,NUETB,0.0
OK,PA,1962,PAPRB,1175846.0
OK,RE,1962,REPRB,16660.0
OR,CL,1962,CLPRB,0.0
OR,NG,1962,NGMPB,0.0
OR,NU,1962,NUETB,0.0
OR,PA,1962,PAPRB,0.0
OR,RE,1962,REPRB,197646.0
PA,CL,1962,CLPRB,2112248.0
PA,NG,1962,NGMPB,93161.0
PA,NU,1962,NUETB,3717.0
PA,PA,1962,PAPRB,30752.0
PA,RE,1962,REPRB,61767.0
RI,CL,1962,CLPRB,0.0
